_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
34781,2035,6071,Risk: Lord of the Rings Expansion Set (incl. Siege of Minas Tirith game),2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
35246,2052,6267,Whistling Death,2003.0,Whistling Death,2003.0
35343,2053,6530,Ninja Burger,2003.0,Ninja Burger,2003.0
35879,2086,4576,Cannon,2003.0,Cannon,2003.0
36311,2128,1967,Urland expansion,2003.0,Urland,2003.0
36385,2132,367,Auf & Ab,2003.0,Auf Zack!!,2003.0
36578,2134,1245,Tobruk Expansion Pack 3: Devil's Garden,2003.0,Munchkin 3: Clerical Errors,2003.0
36603,2134,3312,Tobruk Expansion Pack 3: Devil's Garden,2003.0,Pack of Flies,2003.0
36647,2134,8262,Tobruk Expansion Pack 3: Devil's Garden,2003.0,Friendly Fire Pack #1,2003.0
36695,2135,3312,Tobruk Expansion Pack 4: Blunted Sword,2003.0,Pack of Flies,2003.0
36739,2135,8262,Tobruk Expansion Pack 4: Blunted Sword,2003.0,Friendly Fire Pack #1,2003.0
36991,2178,6182,Brawling Battleships,2003.0,Brawling Battleships (1st Edition),2003.0
37034,2180,811,20th Century Time Travel Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
37053,2180,2197,20th Century Time Travel Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
37070,2180,3928,20th Century Time Travel Card Game,2003.0,Time Control,2003.0
37071,2180,4121,20th Century Time Travel Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
37185,2204,6652,Igloo Pop,2003.0,Trivial Pursuit DVD - Pop Culture,2003.0
37580,2229,270,The Top 10 Game,2003.0,10 Days in the USA,2003.0
37634,2229,6139,The Top 10 Game,2003.0,Big Top,2003.0
37649,2229,6771,The Top 10 Game,2003.0,10 Days in Africa,2003.0
37790,2244,2363,Chief Herman's Next Big Thing,2003.0,Chief Hermans Next Big Thing,2003.0
37818,2244,6139,Chief Herman's Next Big Thing,2003.0,Big Top,2003.0
