_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
8735,53,4121,American Idol Board Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
8790,57,811,MINDFIELD The Game of US Military Trivia,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
8791,57,902,MINDFIELD The Game of US Military Trivia,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
8795,57,1426,MINDFIELD The Game of US Military Trivia,2003.0,Dungeoneer: Vault of the Fiends,2003.0
8798,57,1690,MINDFIELD The Game of US Military Trivia,2003.0,Mission Command - Air Game,2003.0
8800,57,1709,MINDFIELD The Game of US Military Trivia,2003.0,"90's Game, The",2003.0
8802,57,1961,MINDFIELD The Game of US Military Trivia,2003.0,Battle Cry of Freedom,2003.0
8806,57,2080,MINDFIELD The Game of US Military Trivia,2003.0,Granada - The Fall of Moslem Spain,2003.0
8809,57,2197,MINDFIELD The Game of US Military Trivia,2003.0,"Suicide Bomber Card Game, The",2003.0
8812,57,2532,MINDFIELD The Game of US Military Trivia,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
8819,57,3312,MINDFIELD The Game of US Military Trivia,2003.0,Pack of Flies,2003.0
8825,57,3779,MINDFIELD The Game of US Military Trivia,2003.0,Mission Command - Sea Game,2003.0
8827,57,4121,MINDFIELD The Game of US Military Trivia,2003.0,Lewis & Clark Exploration Card Game,2003.0
8832,57,4933,MINDFIELD The Game of US Military Trivia,2003.0,Ark Of The Covenant,2003.0
8834,57,5488,MINDFIELD The Game of US Military Trivia,2003.0,Legends of Football,2003.0
8837,57,6071,MINDFIELD The Game of US Military Trivia,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
8841,57,6235,MINDFIELD The Game of US Military Trivia,2003.0,America Triumphant - Battle of the Bulge,2003.0
8846,57,6505,MINDFIELD The Game of US Military Trivia,2003.0,The Fall of France,2003.0
8859,57,7865,MINDFIELD The Game of US Military Trivia,2003.0,Nobody but us Chickens,2003.0
8862,57,8067,MINDFIELD The Game of US Military Trivia,2003.0,The Bridges of Shangri-La,2003.0
8883,61,902,Den of Thieves,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
8887,61,1426,Den of Thieves,2003.0,Dungeoneer: Vault of the Fiends,2003.0
8894,61,1961,Den of Thieves,2003.0,Battle Cry of Freedom,2003.0
8898,61,2080,Den of Thieves,2003.0,Granada - The Fall of Moslem Spain,2003.0
8904,61,2532,Den of Thieves,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
8911,61,3312,Den of Thieves,2003.0,Pack of Flies,2003.0
8924,61,4933,Den of Thieves,2003.0,Ark Of The Covenant,2003.0
8926,61,5488,Den of Thieves,2003.0,Legends of Football,2003.0
8929,61,6071,Den of Thieves,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
8933,61,6235,Den of Thieves,2003.0,America Triumphant - Battle of the Bulge,2003.0
8938,61,6505,Den of Thieves,2003.0,The Fall of France,2003.0
8954,61,8067,Den of Thieves,2003.0,The Bridges of Shangri-La,2003.0
8975,67,902,Rival Den of Thieves,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
8979,67,1426,Rival Den of Thieves,2003.0,Dungeoneer: Vault of the Fiends,2003.0
8986,67,1961,Rival Den of Thieves,2003.0,Battle Cry of Freedom,2003.0
8990,67,2080,Rival Den of Thieves,2003.0,Granada - The Fall of Moslem Spain,2003.0
8996,67,2532,Rival Den of Thieves,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
9003,67,3312,Rival Den of Thieves,2003.0,Pack of Flies,2003.0
9016,67,4933,Rival Den of Thieves,2003.0,Ark Of The Covenant,2003.0
9018,67,5488,Rival Den of Thieves,2003.0,Legends of Football,2003.0
9021,67,6071,Rival Den of Thieves,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0
9025,67,6235,Rival Den of Thieves,2003.0,America Triumphant - Battle of the Bulge,2003.0
9030,67,6505,Rival Den of Thieves,2003.0,The Fall of France,2003.0
9046,67,8067,Rival Den of Thieves,2003.0,The Bridges of Shangri-La,2003.0
9342,89,811,When Darkness Comes: The Most Dangerous Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
